pair,order,speaker,line
Shou|Jett Kimura,1,Shou,"Your bullets won't touch the demon within."
Shou|Jett Kimura,2,Jett Kimura,"Good thing I brought magic, not metal."
Shou|*,1,Shou,"I do not fear what comes next."
*|Jett Kimura,1,Jett Kimura,"Make it quick."
Arisa Huang|*,1,Arisa Huang,"Stay close. I don't lose my family."
Maako Karsean|*,1,Maako Karsean,"H-hey! I'll protect everyone, I swear it!"
Erika Sharp|*,1,Erika Sharp,"Forgive me. This is going to hurt."
Star Trethowan|*,1,Star Trethowan,"Aw, you're kind of cute. Still going down, though."
Kairu Yusoko|*,1,Kairu Yusoko,"Let's have fun out there, okay?"
Sai Ryuzaki|*,1,Sai Ryuzaki,"Try not to waste my time."
Kenshin|*,1,Kenshin,"I fight with honor. I trust you'll do the same."
Sendara Al Vere|*,1,Sendara Al Vere,"Doubt me all you like. I'll prove you wrong."
Liara Mitsuke|*,1,Liara Mitsuke,"Talk less. Fight now."
Tana Phoenix|*,1,Tana Phoenix,"You picked the wrong day to mess with my team."
Ben Sherman|*,1,Ben Sherman,"Let's make this a good fight, yeah?"
Paul Watoski|*,1,Paul Watoski,"My drones are ready. Are you?"
Kaitsu Hoshigaki|*,1,Kaitsu Hoshigaki,"Watch closely. You won't see this shot coming."
Alasia Maltese|*,1,Alasia Maltese,"Everything's already going according to plan."
Lyra|*,1,Lyra,"I'll do my best. For everyone."
Robert Asuko|*,1,Robert Asuko,"No hard feelings. Just a fair fight."
Soren Harutaki|*,1,Soren Harutaki,"Behind my shield, you're all safe. Watch."
Arthur Kinglion|*,1,Arthur Kinglion,"Front row seats to my best shot yet."
Kobayashi|*,1,Kobayashi,"Stay grounded. Stay ready."
Hakudoshi Inoue|*,1,Hakudoshi Inoue,"Hope you're hungry, 'cause I'm not holding back!"
Sora Lorashu|*,1,Sora Lorashu,"Relax, relax. I've got this."
Allie Mustang|*,1,Allie Mustang,"This won't end well. For you, probably."
Kara Higgins|*,1,Kara Higgins,"Listen closely. The battle has its own rhythm."
*|*,1,Narrator,"The Hayashi Academy arena crackles with anticipation as both squads take their positions."
*|*,2,Narrator,"Five fighters a side. Only one team walks away victorious."
*|*,3,Narrator,"Let the battle begin!"
