character,key,label,sp_cost,target,actions,description,extra
Arisa Huang,hammer,Hammer Attack,10,enemy,"[{""kind"":""damage"",""base"":20,""stackBonus"":{""name"":""creature"",""per"":10}},{""kind"":""effect"",""type"":""stun"",""turns"":1,""chance"":0.25}]","20 dmg (+10 per Creature Summon stack); 25% chance to stun.",
Arisa Huang,summon,Creature Summon,20,self,"[{""kind"":""stack"",""name"":""creature"",""amount"":1,""max"":3}]","Gain a Creature Summon stack (max 3). Each stack adds +10 dmg to Hammer Attack and +25% DEF.",
Arisa Huang,unleash,Unleash the Beast,90,aoe_enemy,"[{""kind"":""damage"",""base"":0,""stackBonus"":{""name"":""creature"",""per"":15},""consumeStack"":""creature""}]","AOE damage: 15 per Creature Summon stack. Consumes all stacks. Requires at least 1 stack.","{""requires"":{""stacks"":{""name"":""creature"",""min"":1}}}"
Arisa Huang,peptalk,Pep Talk,40,aoe_team,"[{""kind"":""spgain"",""amount"":15,""target"":""aoe_team""}]","Grants all allies +15 SP.",
Erika Sharp,heal,Heal,30,ally,"[{""kind"":""heal"",""amount"":30,""target"":""ally""}]","Heals a single ally for 30 HP.",
Erika Sharp,pageturner,Page Turner,40,self,"[{""kind"":""heal"",""amount"":20,""target"":""self""},{""kind"":""cleanse"",""target"":""aoe_team""}]","Heals Erika 20 HP and removes negative status effects (stun/bind/burn) from all allies.",
Erika Sharp,cutesy,Cutesy Magic,10,enemy,"[{""kind"":""damage"",""base"":10},{""kind"":""effect"",""type"":""expose"",""turns"":1}]","Deals 10 damage to a single opponent, lowering their defense by 50% for one turn.",
Erika Sharp,radiance,Angelic Radiance,90,aoe_enemy,"[{""kind"":""damage"",""base"":25,""ignore"":1},{""kind"":""heal"",""amount"":25,""target"":""aoe_team""}]","Deals 25 piercing AOE damage to all enemies and heals all allies 25 HP.",
Jett Kimura,warning,Warning Shot,30,enemy,"[{""kind"":""damage"",""base"":10,""ignore"":1},{""kind"":""effect"",""type"":""stun"",""turns"":1}]","Stuns one opponent and deals 10 piercing damage. While Kimura Special is active, deals 20 piercing damage and stuns for two turns instead.","{""altIf"":""kimura"",""altActions"":[{""kind"":""damage"",""base"":20,""ignore"":1},{""kind"":""effect"",""type"":""stun"",""turns"":2}],""altDesc"":""Kimura Special active: deals 20 piercing damage and stuns for two turns.""}"
Jett Kimura,pierce,Piercing Volley,50,enemy,"[{""kind"":""damage"",""base"":20,""ignore"":1}]","Deals 20 piercing damage to one opponent. While Kimura Special is active, hits all enemies for 45 instead.","{""altIf"":""kimura"",""altTarget"":""aoe_enemy"",""altActions"":[{""kind"":""damage"",""base"":45,""ignore"":1}],""altDesc"":""Kimura Special active: 45 piercing damage to all enemies.""}"
